TESS_time TESS_flux TESS_fluxerr
2.459124477043054532e+06 1.004037246344017920e+00 2.540314401512451872e-03
2.459124478431953117e+06 1.001844279762085677e+00 2.540098741728172554e-03
2.459124479820852168e+06 9.991974557306009252e-01 2.537809988160214057e-03
2.459124481209751219e+06 1.002872690167693426e+00 2.540243854084922332e-03
2.459124482598649804e+06 1.002756082761566470e+00 2.541038478693565927e-03
2.459124483987548389e+06 9.984982202243690708e-01 2.536199405088869832e-03
2.459124485376447439e+06 1.000987668263894292e+00 2.538598573952748592e-03
2.459124486765346024e+06 9.999997323748964773e-01 2.539192483735586321e-03
2.459124488154245075e+06 9.987590273766669968e-01 2.537860374154450333e-03
2.459124489543144125e+06 1.000443452838342351e+00 2.538765460968489627e-03
2.459124490932042710e+06 9.973814995924420446e-01 2.536543423487394068e-03
2.459124492320941761e+06 9.986520435887634717e-01 2.539083970050438552e-03
2.459124493709840346e+06 9.974250509239234175e-01 2.536172795769391954e-03
2.459124495098738931e+06 9.964329800479982957e-01 2.535741903803398218e-03
2.459124496487637982e+06 9.982492101608166912e-01 2.538852361040590516e-03
2.459124497876536567e+06 9.986049412551206705e-01 2.537693643350030521e-03
2.459124499265435617e+06 1.003666243575944694e+00 2.541424945342882994e-03
2.459124500654334668e+06 1.004558914226523436e+00 2.539780878031397751e-03
2.459124502043233253e+06 9.963881601180324399e-01 2.536797021727440950e-03
2.459124503432131838e+06 1.001240560978168492e+00 2.539736102047280251e-03
2.459124504821030423e+06 1.002972288237760523e+00 2.538973366373849152e-03
2.459124506209929474e+06 9.987989161342120115e-01 2.538040887498745589e-03
2.459124507598828524e+06 9.950439180211212431e-01 2.535668463900941569e-03
2.459124508987727109e+06 9.987894790859479510e-01 2.536469990916911423e-03
2.459124510376626160e+06 9.997149831739714498e-01 2.537378392820894592e-03
2.459124511765524279e+06 9.969896006575977854e-01 2.535886515521805148e-03
2.459124513154423330e+06 1.001966609520761109e+00 2.538263192722380827e-03
2.459124514543321915e+06 9.995701330734193535e-01 2.537307044528727424e-03
2.459124515932220966e+06 1.003003256159123779e+00 2.539889776625128825e-03
2.459124517321119551e+06 1.000860535911417326e+00 2.537617763774127535e-03
2.459124518710018601e+06 9.973747020538730190e-01 2.538233997802427904e-03
2.459124520098917186e+06 9.973991974062224042e-01 2.536495538850463104e-03
2.459124521487815771e+06 9.990732310082773848e-01 2.536386780803143344e-03
2.459124522876714356e+06 9.976468787305897701e-01 2.535546281190598650e-03
2.459124524265613407e+06 1.000519181480957087e+00 2.541597670363782754e-03
2.459124525654511992e+06 1.002042469967602711e+00 2.540348888667656822e-03
2.459124527043411043e+06 1.000336196815838186e+00 2.539788966331611806e-03
2.459124528432309628e+06 9.961823583084972178e-01 2.536862933844359451e-03
2.459124529821208213e+06 1.000967839896560463e+00 2.541782963341642377e-03
2.459124531210106798e+06 1.000692059209331797e+00 2.542098888664238564e-03
2.459124532599005848e+06 1.004253570528470529e+00 2.542333215436921260e-03
2.459124533987904433e+06 9.963191536080483468e-01 2.537595555771208697e-03
2.459124535376803018e+06 9.999985281246608348e-01 2.537876872007995433e-03
2.459124536765702069e+06 1.000894033512173431e+00 2.539392170362524993e-03
2.459124538154600654e+06 1.002681564051453256e+00 2.540839862652886656e-03
2.459124539543499239e+06 9.998680659525724934e-01 2.539567335270774637e-03
2.459124540932397824e+06 9.995558925128750216e-01 2.538956447008302534e-03
2.459124542321296874e+06 1.002106468554475605e+00 2.540064738365365674e-03
2.459124543710195459e+06 9.993450783902162460e-01 2.536678645909262383e-03
2.459124545099094044e+06 1.005954932467344687e+00 2.542428389958391755e-03
2.459124546487993095e+06 1.000907087310398458e+00 2.538221676084995507e-03
2.459124547876891214e+06 1.002001174438035713e+00 2.540307298880831437e-03
2.459124549265789799e+06 1.002845123328151233e+00 2.541967053538764579e-03
2.459124550654688850e+06 1.000315655889852495e+00 2.538223474535039777e-03
2.459124552043587435e+06 1.002447974601920588e+00 2.538754816968252868e-03
2.459124553432486486e+06 9.997034101940051043e-01 2.538717821712126524e-03
2.459124554821385071e+06 9.990649340292090397e-01 2.538813605109517188e-03
2.459124556210283656e+06 1.001766434204139467e+00 2.538457803986821169e-03
2.459124557599182241e+06 1.002550506498435690e+00 2.539412983159270581e-03
2.459124558988080826e+06 1.005648979661746267e+00 2.542816169525189286e-03
2.459124560376979411e+06 1.005388365847942111e+00 2.544109772875331570e-03
2.459124561765878461e+06 1.003096448334085844e+00 2.543811384440442577e-03
2.459124563154777046e+06 1.001241964247781224e+00 2.539324829132066745e-03
2.459124564543675631e+06 1.002083026127011278e+00 2.541628000346434890e-03
2.459124565932573751e+06 1.001423136162304051e+00 2.539995890026117663e-03
2.459124567321472801e+06 9.983513243397703629e-01 2.536064236463524309e-03
2.459124568710371386e+06 9.997873746150848229e-01 2.539391342691169496e-03
2.459124570099269971e+06 1.002682766925708124e+00 2.540619393130529469e-03
2.459124571488169022e+06 1.001382260076849828e+00 2.540068847306827492e-03
2.459124572877067607e+06 9.992256372285038823e-01 2.536780935354491107e-03
2.459124574265966192e+06 9.976629406590585836e-01 2.535917271370986392e-03
2.459124575654864311e+06 1.002066753508984887e+00 2.539993024347294518e-03
2.459124577043763362e+06 1.000558185428356284e+00 2.540656215615195480e-03
2.459124578432661947e+06 9.960166999271810040e-01 2.533705217479473044e-03
2.459124579821560532e+06 9.996735707883389610e-01 2.539731457947668001e-03
2.459124581210459117e+06 9.988016037314602080e-01 2.541156851067283198e-03
2.459124582599358167e+06 9.971417759673142367e-01 2.537024763636694380e-03
2.459124583988256752e+06 1.000262397635985900e+00 2.548629346178284127e-03
